Tide Station	Longitude	Latitude	Sea level change (mm/year)	Sea level change	Sea level change	Symbol Color (rgb)	Measurement period	Link	Image
"Reykjavik| Iceland"	-21.9333	64.15	2.35	2.35+/-0.4	0.77+/-0.13	0|255|55	1956-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=010-001	sltbackgroundup.png
"Torshavn| Denmark"	-6.7667	62.0167	1.8	1.8+/-0.4	0.59+/-0.13	0|255|55	1957-2006	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=015-011	sltbackgroundup.png
"Barentsburg| Norway"	14.25	78.0667	-2.65	-2.65+/-0.45	-0.87+/-0.15	0|0|250	1948-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=025-001	sltbackgrounddown.png
"Ny-Alesund| Norway"	11.938	78.9285	-4.69	-4.69+/-0.68	-1.54+/-0.22	0|255|255	1976-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=025-021	sltbackgrounddown.png
"Russkaya Gavan II| Russia"	62.5833	76.2	-0.54	-0.54+/-1.05	-0.18+/-0.34	0|0|250	1953-1993	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=030-003	sltbackgrounddown.png
"Murmansk| Russia"	33.05	68.9667	2.59	2.59+/-0.73	0.85+/-0.24	0|255|55	1952-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=030-018	sltbackgroundup.png
"Dikson| Russia"	80.4	73.5	1.69	1.69+/-0.96	0.55+/-0.32	0|255|55	1950-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=030-345	sltbackgroundup.png
"Tiksi| Russia"	128.9167	71.5833	1.53	1.53+/-0.7	0.5+/-0.23	0|255|55	1949-2010	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=030-447	sltbackgroundup.png
"Providenia| Russia"	-173.2333	64.4167	3.42	3.42+/-1.3	1.12+/-0.43	255|255|58	1951-1983	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=030-725	sltbackgroundup.png
"Vardo| Norway"	31.1	70.3333	-0.17	-0.17+/-0.43	-0.06+/-0.14	0|0|250	1947-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-001	sltbackgrounddown.png
"Honningsvag| Norway"	25.9833	70.9833	1.35	1.35+/-0.72	0.44+/-0.24	0|255|55	1970-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-015	sltbackgroundup.png
"Andenes| Norway"	16.15	69.3167	-0.84	-0.84+/-0.41	-0.27+/-0.14	0|0|250	1938-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-041	sltbackgrounddown.png
"Narvik| Norway"	17.4167	68.4333	-2.1	-2.1+/-0.41	-0.69+/-0.14	0|0|250	1928-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-081	sltbackgrounddown.png
"Rorvik| Norway"	11.25	64.8667	-0.9	-0.9+/-0.68	-0.29+/-0.22	0|0|250	1969-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-136	sltbackgrounddown.png
"Heimsjo| Norway"	9.1167	63.4333	-1.34	-1.34+/-0.27	-0.44+/-0.09	0|0|250	1928-2018	https://tidesandcurrents.noaa.gov/sltrends/sltrends_station.shtml?id=040-151	sltbackgrounddown.png
